"INDEX","TARGET_FLAG","TARGET_AMT","KIDSDRIV","MALE","MARRIED","SINGLE_PARENT","LICENSE_REVOKED","AGE","AGE_RANGE_16_19_YRS","AGE_RANGE_20_29_YRS","AGE_RANGE_30_39_YRS","AGE_RANGE_40_49_YRS","AGE_RANGE_50_59_YRS","AGE_RANGE_60_69_YRS","AGE_RANGE_70_YRS_PLUS","INEXP_DRIVER","HOMEKIDS","YOJ","INCOME","HOME_VAL","TRAVTIME","BLUEBOOK","TIF","OLDCLAIM","CLM_FREQ","MVR_PTS","CAR_AGE","CAR_AGE_RANGE_1_YR","CAR_AGE_RANGE_2_3_YRS","CAR_AGE_RANGE_3_5_YRS","CAR_AGE_RANGE_5_10_YRS","CAR_AGE_RANGE_10_YRS_PLUS","MAIN_DRIVING_CITY","RED_CAR","EDU_HIGH_SCHOOL","EDU_COLLEGE","EDU_ADV_DEGREE","VEHICLE_USE_COMMERCIAL","VEHICLE_CLASS_TRUCK","VEHICLE_CLASS_SUV","VEHICLE_CLASS_CAR","SPORTS_CAR","RED_SPORTS_CAR","TRUCK_COMM","SUV_COMM","CAR_COMM","OCCUPATION_CLERICAL","OCCUPATION_MANAGER","OCCUPATION_BLUE_COLLAR","OCCUPATION_GOLD_COLLAR","OCCUPATION_STUDENT","OCCUPATION_HOME_MAKER","OCCUPATION_PROFESSIONAL"
14,1,6077,0,0,0,0,0,53,0,0,0,0,1,0,0,0,0,14,77100,0,15,18300,1,0,0,0,11,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
15,0,0,0,0,1,0,0,43,0,0,0,1,0,0,0,0,0,5,52642,209970,36,22420,7,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
16,0,0,0,1,1,0,1,55,0,0,0,0,1,0,0,0,0,11,59162,180232,25,17600,7,5028,2,3,9,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
17,1,1267,0,1,0,0,0,53,0,0,0,0,1,0,0,0,0,11,130795,0,64,28340,6,0,0,3,10,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,1,2920.16732,0,0,1,0,0,45,0,0,0,1,0,0,0,0,0,0,0,106859,48,6000,1,0,0,3,5,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
20,0,0,0,0,0,1,0,39,0,0,1,0,0,0,0,0,3,12,51884,180951,43,10590,6,0,0,0,13,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
22,0,0,0,1,1,0,0,42,0,0,0,1,0,0,0,0,0,11,59945,192207,42,14190,6,0,0,0,16,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
23,0,0,0,0,1,0,0,34,0,0,1,0,0,0,0,0,3,13,34019,91875,27,8300,7,0,0,0,20,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
24,0,0,0,0,1,0,0,31,0,0,1,0,0,0,0,0,2,12,18903,93797,48,17330,4,0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
25,1,6857,0,0,1,0,0,28,0,1,0,0,0,0,0,0,1,13,44077,170598,29,8710,6,8935,2,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
26,1,3627,0,1,1,0,0,43,0,0,0,1,0,0,0,0,0,13,37214,193912,52,26560,1,0,0,3,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
27,0,0,0,0,1,0,0,48,0,0,0,1,0,0,0,0,0,14,96274,282904,36,11130,6,8250,1,5,14,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
28,0,0,0,0,0,0,0,47,0,0,0,1,0,0,0,0,0,11,46281,0,29,19700,10,0,0,1,5,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
29,0,0,2,0,1,0,0,44,0,0,0,1,0,0,0,0,2,0,0,82344,8,5900,6,3338,3,0,11,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
32,0,0,0,0,1,0,0,33,0,0,1,0,0,0,0,0,1,13,79606,225962,27,16830,9,0,0,2,15,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
33,1,4486,0,0,1,0,0,32,0,0,1,0,0,0,0,0,1,9,31275,118160,26,10030,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
34,0,0,1,1,1,0,0,44,0,0,0,1,0,0,0,0,2,17,45488,219378,16,22090,17,0,0,0,12,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
35,0,0,0,0,0,0,0,35,0,0,1,0,0,0,0,0,0,8,72193,0,26,12220,6,0,0,3,12,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
36,0,0,0,0,1,0,1,40,0,0,0,1,0,0,0,0,2,0,0,98777,15,14130,6,38127,2,4,12,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
38,0,0,0,1,1,0,0,49,0,0,0,1,0,0,0,0,0,5,49244,163444,30,15880,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
40,0,0,0,0,1,0,0,52,0,0,0,0,1,0,0,0,0,8,51278,230340,37,1500,4,0,0,1,10,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
41,0,0,0,1,0,0,0,41,0,0,0,1,0,0,0,0,0,7,92842,286113,12,25810,6,1431,2,5,15,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,0,0,0,1,1,0,0,39,0,0,1,0,0,0,0,0,0,10,35081,202839,38,16640,4,0,0,0,13,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
43,0,0,0,0,1,0,0,56,0,0,0,0,1,0,0,0,0,0,0,63827,65,13220,1,0,0,0,12,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
44,0,0,0,0,0,0,0,49,0,0,0,1,0,0,0,0,0,12,115044,311980,18,17900,1,0,0,0,14,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
45,0,0,0,0,1,0,0,38,0,0,1,0,0,0,0,0,0,11,37754,138823,47,12080,1,0,0,2,9,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
46,0,0,0,0,1,0,0,43,0,0,0,1,0,0,0,0,2,17,145353,418785,38,29450,6,0,0,0,15,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,0,0,0,0,1,0,0,63,0,0,0,0,0,1,0,0,0,15,121398,343410,10,16270,1,0,0,0,11,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
49,0,0,0,0,0,0,0,52,0,0,0,0,1,0,0,0,0,0,0,87925,48,9280,1,0,0,1,6,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
50,0,0,0,1,1,0,0,35,0,0,1,0,0,0,0,0,0,7,14508,0,22,6450,1,0,0,0,7,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
51,0,0,0,0,1,0,0,43,0,0,0,1,0,0,0,0,0,13,75338,270555,40,23080,1,0,0,0,8,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
52,0,0,0,0,0,0,0,41,0,0,0,1,0,0,0,0,0,10,32774,0,44,20120,4,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
53,0,0,0,1,1,0,0,40,0,0,0,1,0,0,0,0,0,11,57474,186418,5,29270,4,0,0,1,5,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
54,0,0,0,1,1,0,0,31,0,0,1,0,0,0,0,0,1,12,26520,154493,62,4600,6,0,0,2,5,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
55,0,0,0,0,1,0,0,47,0,0,0,1,0,0,0,0,0,8,18444,0,35,19450,6,2981,2,5,7,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
56,0,0,0,1,1,0,0,53,0,0,0,0,1,0,0,0,0,8,107259,343700,36,29230,10,0,0,0,15,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
57,0,0,0,0,1,0,0,39,0,0,1,0,0,0,0,0,3,7,34046,183383,33,4040,6,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
58,0,0,0,1,1,0,0,33,0,0,1,0,0,0,0,0,3,14,32364,152894,40,12270,18,0,0,3,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
59,0,0,0,1,0,0,0,59,0,0,0,0,1,0,0,0,0,5,106775,271024,10,31930,1,0,0,0,21,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
61,1,6100,0,1,0,0,1,40,0,0,0,1,0,0,0,0,0,11,16989,0,20,12230,4,26104,1,13,6,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
65,1,8840.6835683,0,0,1,0,0,44,0,0,0,1,0,0,0,0,2,15,16352,134164,37,10520,1,7838,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
66,0,0,0,1,1,0,0,56,0,0,0,0,1,0,0,0,0,16,44760,164852,30,21770,13,0,0,0,6,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
67,1,2117,1,0,1,0,1,45,0,0,0,1,0,0,0,0,1,14,63952,196368,50,32340,6,27877,2,0,13,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69,0,0,0,1,1,0,0,48,0,0,0,1,0,0,0,0,0,10,85345,252896,14,28560,13,1554,5,1,10,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
70,1,3532,1,1,0,1,0,44,0,0,0,1,0,0,0,0,2,14,24060,0,24,14220,4,0,0,0,10,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
71,1,866,0,0,1,0,0,33,0,0,1,0,0,0,0,0,4,12,20822,76022,46,6880,13,7896,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
72,0,0,0,0,1,0,1,32,0,0,1,0,0,0,0,0,3,14,54968,146784,20,10040,4,0,0,0,8,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
73,1,7786,0,0,0,0,1,34,0,0,1,0,0,0,0,0,0,8,14194,87034,13,2920,4,24767,3,2,10,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
74,0,0,1,0,1,0,0,38,0,0,1,0,0,0,0,0,4,12,2149,72889,35,22690,10,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
77,1,4148,2,0,0,1,0,43,0,0,0,1,0,0,0,0,3,11,137103,0,29,19510,1,8890,3,0,15,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
78,0,0,0,1,0,0,1,49,0,0,0,1,0,0,0,0,0,9,266027,0,31,33710,3,34351,2,2,18,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,1,46,0,0,0,1,0,0,0,0,0,10,79538,0,13,14050,3,0,0,2,11,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
80,0,0,0,0,1,0,0,45,0,0,0,1,0,0,0,0,1,11,185836,509115,28,10250,1,4307,3,6,20,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
81,0,0,0,1,0,0,1,46,0,0,0,1,0,0,0,0,0,14,107663,397661,22,33320,4,0,0,1,12,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
82,0,0,0,1,1,0,0,45,0,0,0,1,0,0,0,0,0,11,61931,213530,30,10910,13,25106,2,0,9,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,63,0,0,0,0,0,1,0,0,0,9,74426,0,11,27600,1,0,0,0,18,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
85,0,0,0,0,1,0,0,44,0,0,0,1,0,0,0,0,0,9,74722,231034,9,23640,6,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
86,1,2371,1,1,0,1,0,45,0,0,0,1,0,0,0,0,2,11,102393,0,25,1500,1,0,0,2,11,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
88,0,0,0,0,1,0,0,48,0,0,0,1,0,0,0,0,0,0,0,98920,50,8660,3,8363,2,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
89,1,4804,1,0,1,0,0,37,0,0,1,0,0,0,0,0,2,12,56062,205211,43,5200,1,2718,1,1,3,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
90,0,0,0,0,0,0,0,35,0,0,1,0,0,0,0,0,0,7,29371,0,49,4860,10,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
91,1,1354,0,1,1,0,0,48,0,0,0,1,0,0,0,0,0,12,31773,165090,14,9640,13,1212,1,4,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
93,0,0,0,0,1,0,0,49,0,0,0,1,0,0,0,0,0,0,0,159389,42,6400,10,9115,1,6,14,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
94,0,0,0,0,0,1,0,44,0,0,0,1,0,0,0,0,2,15,139330,316900,35,22050,10,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
95,0,0,0,0,0,0,0,50,0,0,0,0,1,0,0,0,0,13,163296,447616,42,22830,1,0,0,0,14,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
96,0,0,0,0,0,1,0,30,0,0,1,0,0,0,0,0,1,10,17455,140978,50,12380,13,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
97,0,0,0,1,1,0,0,54,0,0,0,0,1,0,0,0,0,5,71007,240833,61,14000,6,0,0,0,11,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
99,1,2425,0,0,1,0,0,53,0,0,0,0,1,0,0,0,0,6,38036,153381,32,13140,1,0,0,4,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
100,0,0,0,0,0,0,0,53,0,0,0,0,1,0,0,0,0,13,41199,150933,21,15360,1,0,0,0,8,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
101,0,0,0,1,0,1,0,29,0,1,0,0,0,0,0,0,1,10,38042,202967,15,15160,6,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
102,0,0,0,1,0,0,0,58,0,0,0,0,1,0,0,0,0,11,91223,0,23,10620,6,0,0,0,15,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
103,0,0,0,0,1,0,0,55,0,0,0,0,1,0,0,0,0,7,45787,173196,5,19380,6,0,0,0,13,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
104,0,0,0,1,1,0,0,55,0,0,0,0,1,0,0,0,0,6,84964,227091,21,5760,1,969,2,6,11,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
105,0,0,0,0,1,0,0,56,0,0,0,0,1,0,0,0,0,8,38240,190675,28,16220,4,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
108,0,0,0,1,0,0,0,34,0,0,1,0,0,0,0,0,0,11,51565,0,36,18110,1,759,2,3,15,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
109,1,5711,0,0,1,0,0,34,0,0,1,0,0,0,0,0,3,0,0,66358,25,11740,9,1800,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
110,0,0,0,1,1,0,1,36,0,0,1,0,0,0,0,0,0,11,105384,267509,24,13800,7,31695,3,4,17,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
111,1,13105.327626,0,1,1,0,0,41,0,0,0,1,0,0,0,0,0,10,66265,159276,59,12230,4,0,0,1,9,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
112,1,4061,0,1,0,0,0,46,0,0,0,1,0,0,0,0,0,7,145194,0,17,23350,13,4678,3,6,17,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
114,0,0,0,1,1,0,0,42,0,0,0,1,0,0,0,0,0,9,76226,217920,18,23390,13,0,0,0,14,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
115,0,0,1,1,1,0,0,38,0,0,1,0,0,0,0,0,3,16,7528,113809,26,8080,1,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
116,1,7838,0,1,0,1,0,33,0,0,1,0,0,0,0,0,4,0,0,0,14,15090,1,1631,1,2,5,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
117,1,3660,0,0,1,0,0,37,0,0,1,0,0,0,0,0,0,0,0,73890,48,12850,7,0,0,3,6,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
118,0,0,1,0,1,0,0,42,0,0,0,1,0,0,0,0,1,9,32797,160661,63,21690,1,0,0,2,14,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
119,1,5125,0,0,1,0,0,47,0,0,0,1,0,0,0,0,0,11,44705,217885,50,12840,1,1533,2,0,10,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
121,0,0,0,0,0,0,0,52,0,0,0,0,1,0,0,0,0,9,68992,216986,36,15120,1,0,0,3,10,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
122,0,0,0,1,0,0,0,43,0,0,0,1,0,0,0,0,0,11,132561,314433,8,30150,16,12294,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
124,0,0,0,1,1,0,0,66,0,0,0,0,0,1,0,0,1,17,96830,325826,23,11180,7,0,0,0,16,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
127,1,2143,0,1,1,0,0,52,0,0,0,0,1,0,0,0,0,7,64014,244863,33,7900,4,8882,3,1,5,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
130,0,0,1,0,1,0,0,38,0,0,1,0,0,0,0,0,1,7,4431,0,40,7050,4,0,0,0,10,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
132,0,0,0,1,1,0,0,47,0,0,0,1,0,0,0,0,0,14,72156,276241,48,21320,1,0,0,0,13,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
133,0,0,0,1,1,0,0,37,0,0,1,0,0,0,0,0,0,12,123520,383731,14,17550,1,0,0,0,5,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
134,0,0,0,1,1,0,0,47,0,0,0,1,0,0,0,0,0,13,45257,160051,33,29210,6,0,0,0,3,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
136,0,0,1,0,1,0,0,61,0,0,0,0,0,1,0,0,2,17,41857,169015,35,20870,1,0,0,0,21,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
137,1,2114,0,0,0,1,0,41,0,0,0,1,0,0,0,0,1,8,126468,0,34,32690,3,0,0,2,18,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
138,0,0,3,0,1,0,1,40,0,0,0,1,0,0,0,0,3,9,75516,247673,53,13050,5,0,0,0,6,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
139,0,0,0,1,0,0,1,52,0,0,0,0,1,0,0,0,0,16,76954,249290,44,19540,6,0,0,0,11,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
140,0,0,0,0,1,0,0,58,0,0,0,0,1,0,0,0,1,8,150352,421665,21,24240,6,0,0,0,17,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
142,1,8671,1,0,1,0,0,38,0,0,1,0,0,0,0,0,1,12,37580,173495,36,5260,7,867,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
143,1,6287,0,1,1,0,0,41,0,0,0,1,0,0,0,0,2,15,23344,147172,10,7930,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
144,0,0,0,0,1,0,0,37,0,0,1,0,0,0,0,0,0,16,43290,158771,29,23640,1,0,0,0,10,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
145,0,0,0,1,1,0,0,48,0,0,0,1,0,0,0,0,0,10,48737,220264,24,11220,9,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
146,0,0,0,1,1,0,0,47,0,0,0,1,0,0,0,0,0,12,64259,202031,26,25100,18,9526,4,3,9,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
