"TARGET_FLAG","TARGET_AMT","KIDSDRIV","MALE","MARRIED","SINGLE_PARENT","LICENSE_REVOKED","AGE","AGE_RANGE_16_19_YRS","AGE_RANGE_20_29_YRS","AGE_RANGE_30_39_YRS","AGE_RANGE_40_49_YRS","AGE_RANGE_50_59_YRS","AGE_RANGE_60_69_YRS","AGE_RANGE_70_YRS_PLUS","INEXP_DRIVER","HOMEKIDS","YOJ","INCOME","HOME_VAL","TRAVTIME","BLUEBOOK","TIF","OLDCLAIM","CLM_FREQ","MVR_PTS","CAR_AGE","CAR_AGE_RANGE_1_YR","CAR_AGE_RANGE_2_3_YRS","CAR_AGE_RANGE_3_5_YRS","CAR_AGE_RANGE_5_10_YRS","CAR_AGE_RANGE_10_YRS_PLUS","MAIN_DRIVING_CITY","RED_CAR","EDU_HIGH_SCHOOL","EDU_COLLEGE","EDU_ADV_DEGREE","VEHICLE_USE_COMMERCIAL","VEHICLE_CLASS_TRUCK","VEHICLE_CLASS_SUV","VEHICLE_CLASS_CAR","SPORTS_CAR","RED_SPORTS_CAR","TRUCK_COMM","SUV_COMM","CAR_COMM","OCCUPATION_CLERICAL","OCCUPATION_MANAGER","OCCUPATION_BLUE_COLLAR","OCCUPATION_GOLD_COLLAR","OCCUPATION_STUDENT","OCCUPATION_HOME_MAKER","OCCUPATION_PROFESSIONAL"
NA,NA,0,0,1,0,0,53,0,0,0,0,1,0,0,0,1,13,52759,164906,41,24160,9,0,0,0,13,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
NA,NA,0,1,1,0,0,44,0,0,0,1,0,0,0,0,0,4,146267,357184,51,6720,4,0,0,0,10,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NA,NA,0,0,1,0,0,48,0,0,0,1,0,0,0,0,1,10,84629,308848,35,15060,7,9592,1,0,10,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
NA,NA,1,0,1,0,1,45,0,0,0,1,0,0,0,0,2,17,111268,288071,46,24600,1,28026,2,2,10,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,0,0,0,0,0,41,0,0,0,1,0,0,0,0,0,10,97700,0,43,26250,8,0,0,0,6,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NA,NA,0,0,0,1,1,32,0,0,1,0,0,0,0,0,3,13,30955,111256,9,7800,4,0,0,0,8,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
NA,NA,0,1,1,0,0,49,0,0,0,1,0,0,0,0,1,15,89612,261946,23,6400,10,0,0,0,23,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
NA,NA,0,0,0,0,0,41,0,0,0,1,0,0,0,0,0,12,80718,0,29,26480,11,8623,3,5,8,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
NA,NA,1,1,1,0,0,44,0,0,0,1,0,0,0,0,2,15,46140,169084,29,10510,1,4276,3,7,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
NA,NA,0,1,0,0,0,47,0,0,0,1,0,0,0,0,0,12,80105,0,29,14210,6,0,0,1,12,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
NA,NA,2,1,1,0,0,41,0,0,0,1,0,0,0,0,2,8,NA,0,43,5850,1,9419,1,5,6,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
NA,NA,0,1,0,1,0,41,0,0,0,1,0,0,0,0,2,10,78675,265450,33,13470,11,0,0,0,3,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
NA,NA,0,1,0,0,0,50,0,0,0,0,1,0,0,0,0,10,219024,0,27,23370,4,4117,2,4,20,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,51,0,0,0,0,1,0,0,0,0,10,55573,0,18,12160,1,9768,1,6,14,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,0,1,1,0,0,53,0,0,0,0,1,0,0,0,0,8,61862,245885,33,11270,1,0,0,0,14,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,0,0,1,0,1,32,0,0,1,0,0,0,0,0,3,14,21944,128776,34,7270,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
NA,NA,0,0,1,0,0,48,0,0,0,1,0,0,0,0,0,14,42008,176219,23,10000,4,0,0,0,14,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,0,0,1,0,0,54,0,0,0,0,1,0,0,0,0,8,90149,261569,17,15910,4,0,0,1,10,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
NA,NA,0,1,0,0,0,55,0,0,0,0,1,0,0,0,0,15,75249,0,5,17020,1,1316,2,1,21,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,51,0,0,0,0,1,0,0,0,0,11,117016,0,23,20320,4,1197,2,6,8,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
NA,NA,0,1,1,0,0,47,0,0,0,1,0,0,0,0,0,7,76462,229334,29,13850,6,0,0,0,7,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
NA,NA,0,0,1,0,0,44,0,0,0,1,0,0,0,0,1,NA,0,70461,19,2640,4,2219,2,1,13,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
NA,NA,0,0,1,0,0,36,0,0,1,0,0,0,0,0,0,13,20891,134406,39,5100,1,2949,2,9,7,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
NA,NA,0,0,0,1,0,35,0,0,1,0,0,0,0,0,2,10,17493,102902,52,19340,9,5658,3,7,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
NA,NA,0,0,0,0,0,43,0,0,0,1,0,0,0,0,0,11,39848,136304,45,18060,8,0,0,0,15,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,0,0,0,1,0,42,0,0,0,1,0,0,0,0,1,12,117978,0,17,28700,1,0,0,0,7,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
NA,NA,0,0,1,0,0,56,0,0,0,0,1,0,0,0,0,12,62483,NA,18,20940,6,0,0,0,8,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
NA,NA,0,1,0,0,0,39,0,0,1,0,0,0,0,0,0,14,73367,0,36,12740,6,3320,1,4,7,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
NA,NA,0,0,0,1,0,32,0,0,1,0,0,0,0,0,4,15,4478,0,7,6780,4,7181,3,5,8,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
NA,NA,0,1,1,0,0,44,0,0,0,1,0,0,0,0,1,9,5952,0,22,6500,4,0,0,0,10,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
NA,NA,0,1,1,0,0,44,0,0,0,1,0,0,0,0,1,11,75046,244819,56,9000,4,3288,3,6,10,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
NA,NA,0,0,0,0,0,38,0,0,1,0,0,0,0,0,0,10,75432,0,51,16260,1,8035,3,0,13,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
NA,NA,0,0,1,0,0,35,0,0,1,0,0,0,0,0,3,13,64872,187354,44,11490,1,0,0,3,8,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
NA,NA,0,1,0,0,0,55,0,0,0,0,1,0,0,0,0,14,66964,0,47,13700,6,6183,3,3,18,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,0,1,1,0,0,42,0,0,0,1,0,0,0,0,2,11,34210,186734,34,12880,6,1830,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
NA,NA,1,0,1,0,0,43,0,0,0,1,0,0,0,0,2,11,24124,157794,40,8140,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
NA,NA,0,0,1,0,0,44,0,0,0,1,0,0,0,0,0,12,39852,125283,37,7410,1,3704,2,0,6,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
NA,NA,0,0,0,0,0,51,0,0,0,0,1,0,0,0,0,13,65702,0,27,15820,1,7181,2,3,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,0,0,1,0,0,34,0,0,1,0,0,0,0,0,1,12,68833,183087,35,21940,4,1494,2,3,9,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
NA,NA,1,1,1,0,0,40,0,0,0,1,0,0,0,0,2,6,54159,180764,65,16920,10,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NA,NA,0,0,1,0,1,37,0,0,1,0,0,0,0,0,3,17,6217,0,27,22260,10,0,0,0,4,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
NA,NA,0,1,1,0,0,58,0,0,0,0,1,0,0,0,0,14,39707,192089,29,16870,1,3546,1,6,6,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
NA,NA,0,1,1,0,1,50,0,0,0,0,1,0,0,0,0,10,24358,128210,11,17790,3,0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NA,NA,0,0,0,0,0,46,0,0,0,1,0,0,0,0,0,7,106409,0,42,24410,6,6948,1,0,18,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NA,NA,0,0,1,0,0,53,0,0,0,0,1,0,0,0,0,14,59797,178230,35,18070,4,0,0,0,16,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,0,0,1,0,0,63,0,0,0,0,0,1,0,0,2,10,52064,NA,16,11770,1,834,2,8,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
NA,NA,0,1,1,0,0,53,0,0,0,0,1,0,0,0,0,7,77012,316239,22,21440,1,8744,2,0,13,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,0,0,1,0,0,36,0,0,1,0,0,0,0,0,0,11,17085,0,58,15840,7,4070,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
NA,NA,0,1,1,0,0,43,0,0,0,1,0,0,0,0,0,13,238856,NA,19,29690,11,0,0,0,22,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NA,NA,0,0,1,0,0,54,0,0,0,0,1,0,0,0,0,12,69625,271183,51,22340,1,3155,1,2,12,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
NA,NA,0,1,1,0,0,39,0,0,1,0,0,0,0,0,3,16,42535,189139,22,19330,4,0,0,1,8,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
NA,NA,1,1,1,0,0,43,0,0,0,1,0,0,0,0,2,14,81674,233744,39,34680,1,0,0,1,10,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
NA,NA,0,1,1,0,0,51,0,0,0,0,1,0,0,0,0,13,34658,159187,31,15660,1,0,0,0,11,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
NA,NA,0,0,0,0,0,42,0,0,0,1,0,0,0,0,0,0,0,0,5,25540,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
NA,NA,0,1,0,0,0,41,0,0,0,1,0,0,0,0,0,6,86227,237057,28,19530,9,2948,3,2,17,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NA,NA,0,1,1,0,0,35,0,0,1,0,0,0,0,0,1,12,77126,242001,5,11510,10,3079,3,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
NA,NA,0,0,1,0,0,35,0,0,1,0,0,0,0,0,2,0,0,0,32,4810,1,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
NA,NA,1,1,0,1,0,41,0,0,0,1,0,0,0,0,3,5,30043,NA,22,16860,4,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NA,NA,0,1,1,0,0,43,0,0,0,1,0,0,0,0,0,14,54932,225678,37,11290,4,5076,3,5,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
NA,NA,0,1,0,0,1,42,0,0,0,1,0,0,0,0,0,8,94591,309644,21,17470,6,16121,3,3,8,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
NA,NA,1,0,1,0,0,56,0,0,0,0,1,0,0,0,2,17,NA,315504,32,28740,1,0,0,1,6,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
NA,NA,0,0,0,1,0,40,0,0,0,1,0,0,0,0,1,13,79715,0,6,23140,10,0,0,0,7,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
NA,NA,0,1,0,0,0,51,0,0,0,0,1,0,0,0,0,12,40760,186223,24,11880,1,0,0,0,8,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NA,NA,0,1,0,0,0,38,0,0,1,0,0,0,0,0,0,10,28409,0,27,8140,10,0,0,1,7,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
NA,NA,0,0,0,1,0,27,0,1,0,0,0,0,0,0,3,9,69794,0,24,14660,4,2848,1,3,6,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
NA,NA,1,0,1,0,0,42,0,0,0,1,0,0,0,0,2,15,85408,274402,32,20170,10,697,2,0,8,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
NA,NA,0,0,0,0,1,55,0,0,0,0,1,0,0,0,0,11,3865,0,27,16600,1,6089,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
NA,NA,0,1,0,0,0,43,0,0,0,1,0,0,0,0,0,7,58112,0,34,1500,4,0,0,2,11,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
NA,NA,0,0,1,0,0,54,0,0,0,0,1,0,0,0,0,12,65298,213225,5,8030,17,4528,3,5,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
